31120887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaseID,ResponseId,StartDate,EndDate,DOV_SPLIT_A,DOV_SPLIT_B,BNE1_1,BNE1_2,BNE1_3,BNE1_4,BNE1_5,BNE2_1,BNE2_2,BNE2_3,BNE2_4,BNE3_1,BNE3_2,BNE3_3,BNE4,complete_status,QFLAG,xparty4,xurbanicity,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,PPREG9,SSTNO,weight_PID
518,R_3uBUYTxLAMt5UVf,2/24/2024 4:57:00,2/24/2024 5:14:37,SPLIT A, ,Somewhat familiar,Never heard of this, ,Never heard of this,Never heard of this,Strongly support,Strongly support,Strongly support,Strongly support,No,"Yes, I know someone",No,No,qualified,1,Independent,Urban,39,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,2,0,West-South Central,70,1.381758
519,R_51j4FGJ4jqQrPvH,2/23/2024 16:16:42,2/23/2024 16:25:25, ,SPLIT B,"Heard of it, but that’s it", ,Somewhat familiar,Never heard of this,Never heard of this,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly support,No,No,No, ,qualified,1,Democrat,Urban,56,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,1,One-family house detached from any other house,"$10,000 to $24,999",Divorced,Metro area,South,Rented for cash,Not working,TX,1,0,West-South Central,70,0.8789982
520,R_61iTD0EdI55ggiJ,2/23/2024 15:19:55,2/23/2024 15:26:14, ,SPLIT B,Never heard of this, ,Never heard of this,Never heard of this,Never heard of this,Somewhat support,Strongly support,Strongly support,Strongly support,Yes,Yes,No,Prefer not to answer,qualified,1,Republican,Rural,48,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,5,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Working full-time,TX,3,2,West-South Central,70,0.6363426
521,R_5qCY7mC65plV0Ap,2/24/2024 6:04:44,2/24/2024 6:14:08,SPLIT A, ,Very familiar,Very familiar, ,"Heard of it, but that’s it",Somewhat familiar,Somewhat oppose,Strongly support,Strongly oppose,Strongly support,Yes,Yes,No,No,qualified,1,Independent,Rural,18,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,5,One-family house detached from any other house,"$150,000 or more",Never married,Non-metro area,Midwest,Owned or being bought by you or someone in,Working full-time,OH,5,0,East-North Central,70,1.8946418
522,R_7vJocGLb12tkQVP,2/25/2024 9:56:50,2/25/2024 10:00:15,SPLIT A, ,Somewhat familiar,"Heard of it, but that’s it", ,Somewhat familiar,Never heard of this,Strongly oppose,Strongly support,Strongly oppose,Somewhat support,No,No,No, ,qualified,1,Republican,Suburban,24,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NJ,3,1,Mid-Atlantic,70,0.8944032
523,R_52Vcxa2539cCV3P,2/23/2024 16:25:40,2/23/2024 16:33:31,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it",Never heard of this,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,No,No,qualified,1,Independent,Urban,71,Some college,Some college or Associate degree,Hispanic,Male,Six or more,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,TX,4,2,West-South Central,70,1.4849484
524,R_7F3gyU14MG855Bu,2/23/2024 18:25:39,2/23/2024 18:29:15,SPLIT A, ,Somewhat familiar,"Heard of it, but that’s it", ,Somewhat familiar,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Democrat,Urban,36,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,4,Building with 2 or more apartments,"$150,000 or more",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NY,2,2,Mid-Atlantic,70,0.6421203
525,R_5Z2VuXuAU3ztSbn,2/24/2024 18:14:42,2/24/2024 18:20:06,SPLIT A, ,Very familiar,Somewhat familiar, ,Very familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,Yes,No,qualified,1,Democrat,Rural,39,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MI,2,2,East-North Central,70,1.0473773
526,R_1QFzBZTEQeUx8zn,2/23/2024 18:34:59,2/23/2024 18:40:06,SPLIT A, ,Never heard of this,Somewhat familiar, ,Somewhat familiar,Never heard of this,Somewhat support,Strongly support,Strongly support,Strongly support,"Yes, I know someone",No,"Yes, I know someone", ,qualified,1,Republican,Suburban,30,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,4,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,OH,2,2,East-North Central,70,0.5889575
527,R_73g9ooZuycpCvgw,2/24/2024 5:46:13,2/24/2024 5:53:47,SPLIT A, ,Never heard of this,Somewhat familiar, ,Somewhat familiar,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Somewhat oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Independent,Suburban,61,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IL,2,1,East-North Central,70,1.0804861
528,R_5BNjrTMJ0JamvOp,2/25/2024 12:22:57,2/25/2024 12:35:45, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,Never heard of this,Never heard of this,Somewhat support,Somewhat support,Somewhat oppose,Somewhat oppose,"Yes, I have",No,No, ,qualified,1,Republican,Suburban,69,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,AZ,2,0,Mountain,70,0.89671
529,R_18GJmgoBl57WLBf,2/24/2024 14:00:52,2/24/2024 14:17:22, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it","Heard of it, but that’s it",Never heard of this,Somewhat oppose,Somewhat support,Somewhat oppose,Strongly support,No,Yes,No,No,qualified,1,Independent,Suburban,26,Some college,Some college or Associate degree,Hispanic,Male,4,Building with 2 or more apartments,"$100,000 to $149,999",Never married,Metro area,South,Rented for cash,Not working,FL,4,0,South Atlantic,70,2.1634388
530,R_30TiDBtN3vbmz29,2/25/2024 7:46:55,2/25/2024 7:49:53, ,SPLIT B,"Heard of it, but that’s it", ,"Heard of it, but that’s it","Heard of it, but that’s it",Never heard of this,Somewhat oppose,Strongly support,Somewhat oppose,Strongly support,No,No,No, ,qualified,1,Republican,Suburban,25,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,5,One-family condo or townhouse attached to other units,"$150,000 or more",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,MD,5,0,South Atlantic,70,0.6183333
531,R_18VdLxfVCJUTmgy,2/24/2024 6:42:07,2/24/2024 6:45:59,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,No,No,qualified,1,Democrat,Suburban,59,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family condo or townhouse attached to other units,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,VA,2,0,South Atlantic,70,0.4714065
532,R_3TqlMdHJoyGSfS1,2/25/2024 13:09:45,2/25/2024 22:15:24, ,SPLIT B,Somewhat familiar, ,Somewhat familiar,Somewhat familiar,Never heard of this,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,"Yes, I know someone",No,"Yes, I know someone", ,qualified,1,Democrat,Suburban,41,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Female,4,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CA,2,2,Pacific,70,1.0466658
533,R_6AN0R278UShfrPC,2/23/2024 15:47:35,2/23/2024 15:56:00,SPLIT A, ,Never heard of this,"Heard of it, but that’s it", ,Never heard of this,Never heard of this,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Republican,Urban,34,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Non-metro area,Midwest,Owned or being bought by you or someone in,Working full-time,WI,2,0,East-North Central,70,0.9396074
534,R_5shMwY5OxdfSH5H,2/24/2024 21:05:44,2/24/2024 21:24:11, ,SPLIT B,Somewhat familiar, ,Never heard of this,"Heard of it, but that’s it",Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone",No,No, ,qualified,1,Democrat,Suburban,22,Some college,Some college or Associate degree,Hispanic,Female,3,One-family condo or townhouse attached to other units,"$50,000 to $74,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working part-time,VA,3,0,South Atlantic,70,0.6647654
535,R_3oZ6M92GxSVust4,2/24/2024 10:30:22,2/24/2024 10:37:39, ,SPLIT B,Very familiar, ,Somewhat familiar,Never heard of this,Somewhat familiar,Somewhat oppose,Strongly support,Strongly support,Strongly support,Yes,Yes,No,No,qualified,1,Republican,Suburban,66,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$10,000 to $24,999",Widowed,Non-metro area,Midwest,Rented for cash,Not working,IN,1,0,East-North Central,70,1.0871381
536,R_67j0I39IK7qJ5Fr,2/24/2024 13:30:37,2/24/2024 13:46:05,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Strongly oppose,Somewhat oppose,Somewhat support,No,No,No, ,qualified,1,Independent,Rural,77,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,NC,2,0,South Atlantic,70,1.7799917
537,R_3qW2CNLACKCYjcu,2/23/2024 17:33:52,2/23/2024 17:42:18, ,SPLIT B,Never heard of this, ,Never heard of this,Never heard of this,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I have","Yes, I have",No,No,qualified,1,Something else,Suburban,20,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,Six or more,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,Midwest,Rented for cash,Working part-time,IN,4,2,East-North Central,70,0.5639873
538,R_5NaVsCsob5HGJsq,2/24/2024 3:24:40,2/24/2024 3:30:23,SPLIT A, ,Somewhat familiar,Never heard of this, ,Never heard of this,Never heard of this,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly support,Yes,No,Yes, ,qualified,1,Independent,Urban,47,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NH,2,2,New England,70,1.1204863
539,R_5R2RmMrl3zbdfzE,2/23/2024 14:59:50,2/23/2024 15:14:41, ,SPLIT B,Never heard of this, ,Never heard of this,Never heard of this,Never heard of this,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,No,No, ,qualified,1,Independent,Urban,45,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$25,000 to $49,999",Separated,Non-metro area,Midwest,Rented for cash,Working part-time,IL,1,0,East-North Central,70,1.3986768
540,R_1JUwyRh19E3AqzP,2/23/2024 16:44:39,2/23/2024 16:51:01,SPLIT A, ,Skipped,Skipped, ,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped, ,qualified,1,Independent,Urban,33,Bachelor or higher,Master’s degree or above,"Black or African American, Non-Hispanic",Male,1,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MI,1,0,East-North Central,70,1.7041011
541,R_3Yprchnp8ndzoAh,2/23/2024 14:56:05,2/23/2024 15:02:12, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,"Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat support,Somewhat oppose,Somewhat support,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Independent,Suburban,49,Bachelor or higher,Bachelor’s degree,Hispanic,Female,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,FL,2,2,South Atlantic,70,1.7549106
542,R_7rTNYtt9Z37AhDr,2/24/2024 17:51:34,2/24/2024 17:59:09, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Never heard of this,Somewhat support,Somewhat support,Somewhat oppose,Strongly support,No,No,No, ,qualified,1,Independent,Suburban,18,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,5,One-family condo or townhouse attached to other units,"$100,000 to $149,999",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Working part-time,NY,3,2,Mid-Atlantic,70,1.1814969
543,R_5ysgFkgKZzeNDMu,2/24/2024 7:46:38,2/24/2024 7:53:09, ,SPLIT B,Somewhat familiar, ,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat oppose,Somewhat support,Strongly oppose,Strongly support,"Yes, I know someone","Yes, I know someone",No,No,qualified,1,Republican,Rural,38,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,4,One-family house detached from any other house,"$50,000 to $74,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Working full-time,TN,3,1,East-South Central,70,1.0184673
544,R_7ffOnRI6C17m4eM,2/25/2024 12:24:05,2/25/2024 12:32:49,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,No,No,qualified,1,Democrat,Suburban,72,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,OR,2,0,Pacific,70,0.6073099
545,R_6FagTXlDe3z5spy,2/23/2024 14:53:04,2/23/2024 15:00:19, ,SPLIT B,Never heard of this, ,Never heard of this,Somewhat familiar,Never heard of this,Strongly oppose,Somewhat support,Strongly oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Independent,Suburban,62,Bachelor or higher,Bachelor’s degree,"2+ races, Non-Hispanic",Male,1,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,AZ,1,0,Mountain,70,0.5424463
546,R_5ek82e4jwL7u9AH,2/23/2024 15:16:23,2/23/2024 15:21:10,SPLIT A, ,Somewhat familiar,Somewhat familiar, ,"Heard of it, but that’s it",Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone",No,"Yes, I know someone", ,qualified,1,Democrat,Suburban,48,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,TX,1,2,West-South Central,70,0.5743741
547,R_6cBcU7vAFVledhD,2/23/2024 15:27:09,2/23/2024 15:33:01,SPLIT A, ,"Heard of it, but that’s it",Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat support,Somewhat support,Somewhat support,"Yes, I know someone",Prefer not to answer,No, ,qualified,1,Republican,Suburban,43,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Female,4,One-family house detached from any other house,"$50,000 to $74,999",Never married,Metro area,South,Occupied without payment of cash rent,Working full-time,TX,4,0,West-South Central,70,1.3209
548,R_5kk3EGGRA9b2jya,2/23/2024 16:40:34,2/23/2024 16:48:25,SPLIT A, ,Very familiar,"Heard of it, but that’s it", ,Somewhat familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat support,No,No,No, ,qualified,1,Independent,Suburban,22,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,5,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CO,4,1,Mountain,70,1.0946394
549,R_3AFtTpxu5e9GtOF,2/23/2024 15:30:20,2/23/2024 15:36:20, ,SPLIT B,"Heard of it, but that’s it", ,"Heard of it, but that’s it","Heard of it, but that’s it","Heard of it, but that’s it",Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Yes,Yes,No,No,qualified,1,Republican,Urban,76,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,One-family condo or townhouse attached to other units,"$50,000 to $74,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,OH,2,0,East-North Central,70,0.6139393
550,R_3zc7ZIO3Qqi9MI1,2/23/2024 19:40:26,2/23/2024 19:52:01,SPLIT A, ,Never heard of this,Somewhat familiar, ,Somewhat familiar,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Democrat,Urban,34,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,2,Building with 2 or more apartments,"$50,000 to $74,999",Never married,Metro area,South,Rented for cash,Working full-time,GA,2,0,South Atlantic,70,0.5501669
551,R_5yLHEay4ujDIjVT,2/23/2024 15:46:50,2/23/2024 15:50:14, ,SPLIT B,Very familiar, ,Somewhat familiar,Somewhat familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,No,Yes, ,qualified,1,Independent,Suburban,41,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,OH,2,2,East-North Central,70,1.0746717
552,R_3XbAojE9SnONOhS,2/24/2024 10:00:02,2/24/2024 10:02:45,SPLIT A, ,Never heard of this,Never heard of this, ,Never heard of this,Never heard of this,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly oppose,No,No,No, ,qualified,1,Independent,Urban,20,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,Building with 2 or more apartments,"$10,000 to $24,999",Never married,Metro area,South,Rented for cash,Working part-time,OK,2,0,West-South Central,70,1.1754855
553,R_3cA6NFNnCLd5WeI,2/23/2024 19:53:26,2/23/2024 20:01:46,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,Never heard of this,Never heard of this,Strongly oppose,Somewhat support,Strongly oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Republican,Suburban,63,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CA,2,0,Pacific,70,1.458095
554,R_6PsSBiWg6vxBcnT,2/24/2024 5:33:41,2/24/2024 5:41:05,SPLIT A, ,Somewhat familiar,"Heard of it, but that’s it", ,Never heard of this,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,No,No, ,qualified,1,Democrat,Rural,57,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,"Other (mobile home, boat, RV, van, etc.)","$75,000 to $99,999",Divorced,Non-metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MN,2,0,West-North Central,70,0.6488264
555,R_1tJtwotwB3buuUI,2/23/2024 14:57:29,2/23/2024 15:21:22, ,SPLIT B,Somewhat familiar, ,Somewhat familiar,Somewhat familiar,Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,No,No,qualified,1,Democrat,Urban,27,Bachelor or higher,Bachelor’s degree,"2+ races, Non-Hispanic",Male,2,Building with 2 or more apartments,"$150,000 or more",Never married,Metro area,South,Rented for cash,Working full-time,DC,2,0,South Atlantic,70,0.3315341
556,R_1XhD6Fw4vsN52w5,2/23/2024 19:24:54,2/23/2024 19:32:53, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Never heard of this,Skipped,Somewhat support,Somewhat oppose,Skipped,No,No,No, ,qualified,1,Independent,Suburban,70,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,1,"Other (mobile home, boat, RV, van, etc.)","$10,000 to $24,999",Widowed,Non-metro area,West,Owned or being bought by you or someone in,Not working,UT,1,0,Mountain,70,1.6946917
557,R_1Cs2BCdBuQNOfej,2/23/2024 16:14:49,2/23/2024 16:20:23,SPLIT A, ,Very familiar,Very familiar, ,"Heard of it, but that’s it",Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Independent,Urban,70,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,AZ,2,0,Mountain,70,2.0858533
558,R_15qUxWmdcoWR8kh,2/24/2024 9:31:14,2/24/2024 9:35:14,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,"Heard of it, but that’s it","Heard of it, but that’s it",Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,"Yes, I know someone",No,"Yes, I know someone", ,qualified,1,Democrat,Suburban,28,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,Northeast,Rented for cash,Working full-time,MA,1,0,New England,70,0.5248621
559,R_6GeKoliimtN7ZaU,2/23/2024 20:40:52,2/23/2024 20:47:56,SPLIT A, ,Very familiar,Never heard of this, ,Somewhat familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,No,No, ,qualified,1,Independent,Suburban,43,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,Six or more,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,UT,2,Six or more,Mountain,70,0.9683519
560,R_71bZzCLJaKuJtxd,2/23/2024 16:42:51,2/23/2024 16:47:03,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,Yes,Yes,qualified,1,Democrat,Urban,73,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IA,2,0,West-North Central,70,0.5208662
561,R_5781UDaa9BGsBu8,2/23/2024 19:25:12,2/23/2024 19:42:02,SPLIT A, ,Very familiar,Never heard of this, ,Somewhat familiar,Somewhat familiar,Somewhat support,Somewhat support,Strongly oppose,Somewhat oppose,No,Prefer not to answer,No, ,qualified,1,Democrat,Urban,77,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Female,3,One-family house detached from any other house,"$50,000 to $74,999",Widowed,Metro area,West,Owned or being bought by you or someone in,Not working,AZ,3,0,Mountain,70,1.1574184
562,R_7uNHzF88xtA6dFz,2/23/2024 14:52:45,2/23/2024 14:58:09, ,SPLIT B,Never heard of this, ,Never heard of this,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Somewhat oppose,Somewhat support,Somewhat support,"Yes, I know someone","Yes, I have","Yes, I know someone",No,qualified,1,Republican,Rural,56,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MN,2,0,West-North Central,70,0.552243
563,R_7CxOQnv8jqYpwXe,2/25/2024 12:18:11,2/25/2024 12:22:49,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it",Somewhat familiar,Somewhat support,Somewhat support,Somewhat oppose,Somewhat support,No,No,No, ,qualified,1,Independent,Urban,59,Bachelor or higher,Bachelor’s degree,Hispanic,Male,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,TX,2,0,West-South Central,70,1.1130863
564,R_148yG5zxl6hprR0,2/23/2024 16:08:32,2/23/2024 16:13:10,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I have",Prefer not to answer,Prefer not to answer, ,qualified,1,Missing,Urban,27,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Female,2,Building with 2 or more apartments,"$10,000 to $24,999",Never married,Metro area,South,Rented for cash,Working full-time,FL,2,0,South Atlantic,70,1.1062846
565,R_6pGb8cqIp8jme2T,2/23/2024 15:43:19,2/23/2024 15:58:09, ,SPLIT B,Never heard of this, ,Never heard of this,Never heard of this,Never heard of this,Skipped,Strongly support,Strongly support,Strongly support,No,No,No, ,qualified,1,Republican,Suburban,22,HS,High school graduate (high school diploma or the equivalent GED),"2+ races, Non-Hispanic",Female,Six or more,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,South,Owned or being bought by you or someone in,Not working,OK,1,5,West-South Central,70,0.330016
566,R_6zEfz5dM7NwIpbP,2/24/2024 7:59:38,2/24/2024 8:03:32,SPLIT A, ,Very familiar,Very familiar, ,Very familiar,Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Yes,Yes,No,qualified,1,Independent,Urban,30,Some college,Some college or Associate degree,Hispanic,Male,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,West,Rented for cash,Working full-time,NM,2,0,Mountain,70,1.6291643
567,R_1E00pcnHgFsmrKm,2/23/2024 20:18:02,2/23/2024 20:22:59, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it","Heard of it, but that’s it","Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Yes,No,No, ,qualified,1,Democrat,Suburban,57,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family condo or townhouse attached to other units,"$75,000 to $99,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,FL,2,0,South Atlantic,70,0.5117842
568,R_3vmyx7GodnR5oHL,2/23/2024 17:31:18,2/23/2024 17:40:42, ,SPLIT B,"Heard of it, but that’s it", ,Very familiar,Very familiar,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Somewhat oppose,"Yes, I know someone","Yes, I know someone",No,No,qualified,1,Democrat,Suburban,73,Less than HS,No high school diploma or GED,"Black or African American, Non-Hispanic",Female,1,One-family house detached from any other house,"$100,000 to $149,999",Divorced,Metro area,South,Owned or being bought by you or someone in,Not working,GA,1,0,South Atlantic,70,1.6136606
569,R_1qBxsZQqDlFQk4O,2/23/2024 20:39:46,2/23/2024 20:48:33, ,SPLIT B,"Heard of it, but that’s it", ,Never heard of this,Never heard of this,Never heard of this,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Something else,Suburban,46,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working part-time,MN,2,0,West-North Central,70,0.6415441
